Country_Name,Deaths,Confirmed
US,28,1061
US,14,1479
US,243,19480
US,86,4149
US,38,1171
US,61,4239
US,28,848
US,57,3107
US,22,1571
US,93,2675
US,14,1112
US,91,2966
US,113,3713
US,25,1326
US,32,2756
US,99,6272
US,530,21391
US,278,14534
US,75,4985
US,35,1882
US,752,38402
US,256,22397
US,76,3708
US,88,4631
US,73,3842
US,52,3364
US,110,7421
US,51,1349
US,66,2938
US,3,226
US,53,2111
US,36,904
US,556,31071
US,195,10077
US,5,526
US,36,1652
US,20,1398
US,227,9006
US,80,3948
US,26,1255
US,111,3596
US,22,653
US,3,158
US,83,3462
US,26,1116
US,61,1974
US,52,1062
US,143,6753
US,140,7767
US,138,4906
US,68,1587
US,37,1144
US,260,10083
US,44,1518
US,49,988
US,9,4378
US,90,3153
US,137,4864
US,99,9761
US,277,13385
US,204,6775
US,20,666
US,98,2912
US,112,5318
US,4,201
US,28,893
US,100,4324
US,273,20404
US,50,1166
US,32,1322
US,28,1379
US,75,2738
US,3,103
US,153,11494
US,63,8395
US,478,48240
US,4,1586
US,77,8333
US,4,2210
US,0,0
US,533,62640
US,5,401
US,127,10185
US,6,492
US,11,894
US,79,5339
US,20,2606
US,4,502
US,50,4075
US,180,16299
US,14,1052
US,1,247
US,0,77
US,351,32664
US,12,799
US,29,3259
US,0,60
US,17,1397
US,3,275
US,23,2794
US,19,1342
US,14,1274
US,46,2231
US,28,1664
US,18,1648
US,33,3328
US,31,3240
US,259,22924
US,18,3713
US,10,641
US,12,572
US,11,566
US,28,7804
US,34,2627
US,66,4952
US,4,411
US,31,1259
US,40,3097
US,9,767
US,44,1563
US,4,1381
US,153,12424
US,0,8
US,6,1121
US,26,1457
US,141,12075
US,11,632
US,24,2353
US,81,7404
US,7,999
US,86,4136
US,2,612
US,37,2178
US,27,2349
US,175,24846
US,78,4550
US,36,2284
US,46,2119
US,96,6621
US,106,6857
US,10816,599101
US,28,2816
US,21,1620
US,30,1850
US,124,11195
US,36,2910
US,1345,101096
US,43,2155
US,13,889
US,78,5452
US,56,3666
US,54,2266
US,87,6326
US,65,4598
US,4,686
US,36,1899
US,80,6732
US,18,1177
US,34,2386
US,12,539
US,14,599
US,71,5808
US,70,3754
US,74,7150
US,18,1401
US,129,5686
US,52,3123
US,24,1971
US,21,1988
US,831,64255
US,228,15965
US,103,14841
US,160,6284
US,267,13959
US,1046,74910
US,29,2801
US,56,4441
US,94,5411
US,68,4629
US,224,13492
US,93,5970
US,559,36639
US,133,6110
US,21,1288
US,49,1891
US,42,1815
US,53,3440
US,308,32028
US,201,20944
US,12,1490
US,34,1779
US,96,4928
US,75,4410
US,95,4670
US,29,1961
US,84,6810
US,0,3
US,355,25200
US,69,3964
US,14,1829
US,55,2426
US,5,434
US,11,944
US,4,526
US,92,5043
US,49,2348
US,335,17128
US,61,3647
US,255,23351
US,7,921
US,3,674
US,41,2783
US,551,34033
US,26,739
US,87,5220
US,321,19134
US,2432,97
US,42,2859
US,167,12325
US,13,1852
US,51,2084
US,27,1986
US,55,2471
US,28,2379
US,176,7601
US,1072,84759
US,143,10559
US,535,37653
US,88,5388
US,63,4201
US,728,50459
US,161,9802
US,15,1341
US,34,1566
US,108,7988
US,45,1269
US,25,2313
US,117,6823
US,212,16398
US,53,3559
US,62,5102
US,18,1364
US,102,3758
US,89,5342
US,85,7020
US,95,3583
US,206,12969
US,120,7234
US,479,31927
US,68,3447
US,194,9702
US,53,2877
US,35,2134
US,48,2502
US,102,5778
